Distance_(pixels),Gray_Value,
1086,31.469,0.157873877
1087,30.996,0.155500928
1088,30.737,0.154201575
1089,31.049,0.155766819
1090,30.603,0.153529323
1091,30.879,0.154913962
1092,30.92,0.155119651
1093,30.384,0.152430643
1094,30.246,0.151738323
1095,30.268,0.151848693
1096,30.304,0.152029298
1097,29.951,0.150258366
1098,29.871,0.149857021
1099,30.067,0.150840315
1100,29.554,0.148266693
1101,29.964,0.150323584
1102,29.518,0.148086088
1103,29.214,0.146560979
1104,29.237,0.146676366
1105,29.406,0.147524206
1106,29.509,0.148040937
1107,29.183,0.146405458
1108,29.107,0.146024181
1109,29.246,0.146721517
1110,29.04,0.145688055
1111,29.103,0.146004114
1112,28.942,0.145196408
1113,28.714,0.144052576
1114,29.031,0.145642904
1115,28.875,0.144860282
1116,28.696,0.143962274
1117,28.156,0.141253198
1118,28.692,0.143942206
1119,28.469,0.142823459
1120,28.143,0.14118798
1121,28.196,0.14145387
1122,28.201,0.141478954
1123,27.652,0.138724728
1124,27.701,0.138970551
1125,27.594,0.138433753
1126,27.362,0.137269854
1127,27.518,0.138052476
1128,27.107,0.135990568
1129,27.071,0.135809963
1130,27.147,0.136191241
1131,27.089,0.135900266
1132,27.147,0.136191241
1133,27.067,0.135789896
1134,26.924,0.135072493
1135,27.165,0.136281543
1136,26.96,0.135253098
1137,26.955,0.135228014
1138,26.969,0.135298249
1139,27.295,0.136933728
1140,27.732,0.139126072
1141,27.29,0.136908644
1142,27.487,0.137896955
1143,27.531,0.138117694
1144,27.835,0.139642803
1145,27.746,0.139196308
1146,27.924,0.140089299
